,name,description,life,male_weight,female_weight,hypoallergenic
33,Belgian Malinois,"The Belgian Malinois is a medium-sized herding breed that originated in Belgium. It is an active and intelligent breed that is loyal and devoted to its family. The Belgian Malinois stands between 22-26 inches at the shoulder and has a short, dense coat that can come in various colors and patterns.","{'max': 14, 'min': 12}","{'max': 30, 'min': 25}","{'max': 25, 'min': 20}",False
34,Belgian Sheepdog,"The Belgian Sheepdog is a large and intelligent breed of dog that was originally bred in Belgium for herding and guarding livestock. They are loyal, protective, and hardworking, and make excellent working dogs.","{'max': 14, 'min': 12}","{'max': 30, 'min': 25}","{'max': 30, 'min': 25}",False
35,Belgian Tervuren,"The Belgian Tervuren is a medium-sized breed of herding dog from Belgium. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have an energetic and intelligent demeanor, with an instinct for herding and working. They are highly trainable and obedient, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.","{'max': 15, 'min': 12}","{'max': 25, 'min': 20}","{'max': 25, 'min': 20}",False
36,Bergamasco Sheepdog,"The Bergamasco Sheepdog is a large breed of herding dog from the Bergamasco region of Italy. These dogs are large in size, with a thick and shaggy coat of fur. They have a dignified and loyal demeanor, making them excellent guard and companion dogs. They are highly intelligent and trainable, with an instinct to herd and protect their family and property. They are courageous and alert, with an independent nature that makes them well suited for herding and guard work.","{'max': 15, 'min': 12}","{'max': 45, 'min': 25}","{'max': 45, 'min': 25}",False
37,Berger Picard,"The Berger Picard is a medium-sized breed of dog that was originally bred in France for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.","{'max': 14, 'min': 12}","{'max': 25, 'min': 20}","{'max': 25, 'min': 20}",False
38,Bernese Mountain Dog,"The Bernese Mountain Dog is a large, sturdy dog breed with a thick, silky coat, often black, white, and rust in color. Originally bred to herd cattle and pull carts in the Swiss mountains, they are known for their intelligence, strength, and agility.","{'max': 10, 'min': 8}","{'max': 70, 'min': 45}","{'max': 70, 'min': 45}",False
39,Bichon Frise,"The Bichon Frise is a small and playful breed of dog that was originally bred in France as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.","{'max': 16, 'min': 14}","{'max': 5, 'min': 3}","{'max': 5, 'min': 3}",True
40,Biewer Terrier,"The Biewer Terrier is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.","{'max': 16, 'min': 14}","{'max': 3, 'min': 2}","{'max': 3, 'min': 2}",False
41,Black and Tan Coonhound,"The Black and Tan Coonhound is a large and muscular breed of dog that was originally bred for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.","{'max': 15, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
42,Black Russian Terrier,"The Black Russian Terrier is a large and powerful breed of dog that was originally bred in Russia for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.","{'max': 12, 'min': 10}","{'max': 60, 'min': 40}","{'max': 60, 'min': 40}",False
43,Bloodhound,"The Bloodhound is a large scent hound, bred for tracking and hunting humans or animals by their scent.","{'max': 12, 'min': 10}","{'max': 54, 'min': 36}","{'max': 54, 'min': 36}",False
44,Bluetick Coonhound,"The Bluetick Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.","{'max': 14, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
45,Boerboel,"The Boerboel is a large, powerful and confident mastiff-type breed from South Africa, known for its loyalty, strength, and protective instincts.","{'max': 12, 'min': 10}","{'max': 80, 'min': 50}","{'max': 80, 'min': 50}",False
46,Bohemian Shepherd,The Bohemian Shepherd is a medium-sized herding breed that originated in the Czech Republic. It is an active and intelligent breed that is loyal and friendly. The Bohemian Shepherd stands between 17-21 inches at the shoulder and has a medium-length coat that can come in various colors and patterns.,"{'max': 14, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
47,Bolognese,"The Bolognese is a small and playful breed of dog that was originally bred in Italy as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.","{'max': 16, 'min': 14}","{'max': 7, 'min': 4}","{'max': 7, 'min': 4}",False
48,Border Collie,"The Border Collie is a medium-sized breed of herding dog from the borders of England and Scotland. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have an energetic and intelligent demeanor, with an instinct for herding and working. They are highly trainable and obedient, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.","{'max': 16, 'min': 12}","{'max': 30, 'min': 20}","{'max': 25, 'min': 17}",False
49,Border Terrier,"The Border Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.","{'max': 16, 'min': 14}","{'max': 8, 'min': 6}","{'max': 8, 'min': 6}",False
50,Borzoi,"The Borzoi is a large and athletic breed of dog that was originally bred in Russia for hunting wolves and other large game. They are intelligent, independent, and graceful, and make excellent companion dogs.","{'max': 12, 'min': 10}","{'max': 45, 'min': 30}","{'max': 35, 'min': 25}",False
51,Boston Terrier,"The Boston Terrier is a small, intelligent dog breed that originated in the United States. They are known for their friendly dispositions and distinctive black and white coats.","{'max': 14, 'min': 12}","{'max': 11, 'min': 5}","{'max': 11, 'min': 5}",False
52,Bouvier des Flandres,"The Bouvier des Flandres is a large and powerful breed of dog from the Flanders region of Belgium. These dogs are very large in size, with a thick double coat of wire-haired fur. They have a dignified but energetic demeanor, making them excellent working dogs. They are highly intelligent and trainable, with an instinct to protect their family and property. They are brave and loyal, with an independent nature that makes them well suited for herding and guard work.","{'max': 14, 'min': 10}","{'max': 40, 'min': 30}","{'max': 35, 'min': 25}",False
53,Boxer,"The Boxer is a large and muscular breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.","{'max': 12, 'min': 10}","{'max': 32, 'min': 25}","{'max': 29, 'min': 20}",False
54,Boykin Spaniel,"The Boykin Spaniel is a medium-sized breed of dog that was originally bred in the United States for hunting waterfowl. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.","{'max': 15, 'min': 12}","{'max': 16, 'min': 15}","{'max': 16, 'min': 15}",False
55,Bracco Italiano,"The Bracco Italiano is a large breed of gun dog that originated in Italy. It is a powerful and athletic breed, with a long, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Bracco Italiano is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.","{'max': 14, 'min': 12}","{'max': 30, 'min': 25}","{'max': 30, 'min': 25}",False
56,Braque du Bourbonnais,"The Braque du Bourbonnais is a medium-sized breed of hunting dog from the Bourbonnais region of France. These dogs are medium in size, with a short and wiry coat of fur. They have a friendly and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.","{'max': 15, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
57,Braque Francais Pyrenean,"The Braque Francais Pyrenean is a medium-sized, versatile breed that is known for its intelligence, trainability, and love of the outdoors. This breed is native to the Pyrenees Mountains in France, where it was originally used for hunting and pointing game.","{'max': 14, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
58,Briard,"The Briard is a large, muscular breed with a long, shaggy coat that is typically black, tawny, or gray. It is known for its loyalty and protective instincts.","{'max': 12, 'min': 10}","{'max': 40, 'min': 30}","{'max': 35, 'min': 25}",False
59,Brittany,"The Brittany is a medium-sized breed with a short, dense coat and a muscular, athletic build. It is known for its high energy level and its ability to excel in a variety of activities, including hunting, agility, and obedience.","{'max': 14, 'min': 12}","{'max': 25, 'min': 17}","{'max': 25, 'min': 17}",False
60,Broholmer,"The Broholmer is a large, powerful dog breed that was originally bred in Denmark for hunting.","{'max': 10, 'min': 8}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
61,Brussels Griffon,"The Brussels Griffon is a small, playful breed that is known for its intelligence, comical expression, and affectionate nature. This breed is native to Belgium, where it was originally kept as a companion and lapdog.","{'max': 15, 'min': 12}","{'max': 4, 'min': 2}","{'max': 4, 'min': 2}",False
62,Bulldog,"Bulldogs are a strong, stocky breed with a short, smooth coat. They have a wide head and a thick neck, with a short muzzle and deep-set eyes with a determined, friendly expression. Bulldogs are known for their courage and tenacity and are a popular pet thanks to their even temperament and friendly, loyal nature.","{'max': 10, 'min': 8}","{'max': 25, 'min': 20}","{'max': 25, 'min': 20}",False
63,Bullmastiff,"The Bullmastiff is a large and powerful breed of dog that was originally bred in England for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.","{'max': 10, 'min': 8}","{'max': 59, 'min': 50}","{'max': 54, 'min': 45}",False
64,Bull Terrier,The Bull Terrier is a medium-sized breed of terrier that was developed in the 19th century in England. It is an active and energetic breed that is loyal and friendly. The Bull Terrier stands between 18-22 inches at the shoulder and has a short and dense coat that can come in various colors.,"{'max': 15, 'min': 12}","{'max': 22, 'min': 18}","{'max': 20, 'min': 16}",False
65,Cairn Terrier,"The Cairn Terrier is a small and energetic breed of dog that was originally bred in Scotland for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.","{'max': 16, 'min': 14}","{'max': 6, 'min': 5}","{'max': 6, 'min': 5}",False
66,Canaan Dog,"The Canaan Dog is a medium-sized, athletic breed that is known for its intelligence, trainability, and alertness. This breed is native to the Middle East, where it was originally used for herding and guarding.","{'max': 14, 'min': 12}","{'max': 20, 'min': 15}","{'max': 20, 'min': 15}",False
67,Cane Corso,"The Cane Corso is a large and powerful breed of dog that was originally bred in Italy for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.","{'max': 12, 'min': 10}","{'max': 50, 'min': 40}","{'max': 45, 'min': 35}",False
68,Cardigan Welsh Corgi,"The Cardigan Welsh Corgi is a medium-sized herding breed of dog that originated in Wales. It is one of two breeds known as Welsh Corgi, the other being the Pembroke Welsh Corgi. Cardigans are known for their long, low-set bodies and short legs. They have strong bodies, with a deep chest and strong legs. They have a medium-length tail that is usually docked, and their coat is long and dense. Cardigans have a friendly and cheerful personality, and they make excellent family dogs. They are loyal and intelligent, and they enjoy being active.","{'max': 15, 'min': 12}","{'max': 15, 'min': 10}","{'max': 14, 'min': 10}",False
69,Carolina Dog,"The Carolina Dog is a medium-sized breed of dog that originated in the United States. It is an active and energetic breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Carolina Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.","{'max': 14, 'min': 12}","{'max': 14, 'min': 9}","{'max': 14, 'min': 9}",False
70,Catahoula Leopard Dog,"The Catahoula Leopard Dog is a large and powerful breed of dog that was originally bred in the United States for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.","{'max': 14, 'min': 12}","{'max': 32, 'min': 16}","{'max': 32, 'min': 16}",False
71,Caucasian Shepherd Dog,"The Caucasian Shepherd Dog is a large and powerful breed of dog from the Caucasus Mountains region. These dogs are large in size, with a thick double coat to protect them from the cold. They have a regal bearing, with a proud and confident demeanor. They are highly intelligent and loyal, making them excellent guard dogs. They are courageous and alert, with an instinct to protect their family and property. They are highly trainable, but require firm and consistent training.","{'max': 20, 'min': 15}","{'max': 90, 'min': 50}","{'max': 70, 'min': 45}",False
72,Cavalier King Charles Spaniel,"The Cavalier King Charles Spaniel is a small breed that originated in the United Kingdom. They have a long, silky coat, and come in a variety of colors. They are a gentle and loving breed, and make good family companions. They are an active breed, and need plenty of exercise and stimulation. They are also very loyal and devoted to their owners.","{'max': 15, 'min': 12}","{'max': 8, 'min': 5}","{'max': 8, 'min': 5}",False
73,Central Asian Shepherd Dog,"The Central Asian Shepherd Dog is a large, powerful breed that is known for its intelligence, loyalty, and protectiveness. This breed is native to Central Asia, where it was originally used to guard flocks of sheep and protect families and their homes.","{'max': 14, 'min': 12}","{'max': 90, 'min': 50}","{'max': 70, 'min': 45}",False
74,Cesky Terrier,"The Cesky Terrier is a small, sturdy breed that is known for its intelligence, playfulness, and loyalty. This breed is native to the Czech Republic, where it was originally used to hunt small game and vermin.","{'max': 14, 'min': 12}","{'max': 8, 'min': 6}","{'max': 8, 'min': 6}",False
75,Chesapeake Bay Retriever,"The Chesapeake Bay Retriever is a large and muscular breed of dog that was originally bred in the United States for retrieving waterfowl. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.","{'max': 14, 'min': 12}","{'max': 36, 'min': 25}","{'max': 36, 'min': 25}",False
76,Chihuahua,"The Chihuahua is a small, energetic breed that is known for its intelligence, loyalty, and big personality. This breed is native to Mexico, where it was originally kept as a companion and lapdog.","{'max': 16, 'min': 14}","{'max': 3, 'min': 1}","{'max': 3, 'min': 1}",False
77,Chinese Crested,"The Chinese Crested is a small, hairless breed that is known for its delicate appearance and playful personality.","{'max': 16, 'min': 14}","{'max': 5, 'min': 3}","{'max': 5, 'min': 3}",True
78,Chinese Shar-Pei,"The Chinese Shar-Pei is a large and muscular breed of dog that was originally bred in China for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.","{'max': 14, 'min': 12}","{'max': 25, 'min': 20}","{'max': 25, 'min': 20}",False
79,Chinook,"The Chinook is a large and powerful breed of dog that was originally bred in the United States for sledding and guarding. They are intelligent, loyal, and hardworking, and make excellent working dogs.","{'max': 14, 'min': 12}","{'max': 29, 'min': 23}","{'max': 29, 'min': 23}",False
80,Chow Chow,"The Chow Chow is a medium-sized breed of dog that originated in China. It is an independent and loyal breed that is known for its distinctive blue-black tongue. The Chow Chow stands between 17-20 inches at the shoulder and has a dense, long coat that can come in various colors.","{'max': 15, 'min': 12}","{'max': 32, 'min': 20}","{'max': 32, 'min': 20}",False
81,Cirneco dell'Etna,"The Cirneco dell'Etna is a small and slender breed of dog that was originally bred in Sicily for hunting rabbits. They are intelligent, energetic, and independent, and make excellent companion dogs.","{'max': 14, 'min': 12}","{'max': 14, 'min': 10}","{'max': 14, 'min': 10}",False
82,Clumber Spaniel,"The Clumber Spaniel is a large, affectionate and gentle gun dog. It is an ancient breed, first developed in the English county of Clumber in the 1700s. Clumbers are known for their thick white coat, which is usually double-coated, and is relatively low-maintenance. They make excellent family pets, but they also excel in the field as hunting dogs. Clumbers can be very sensitive and they do not respond well to harsh treatment. They are loyal and devoted to their family and are usually good with children.","{'max': 14, 'min': 12}","{'max': 32, 'min': 27}","{'max': 32, 'min': 27}",False
83,Cocker Spaniel,"The Cocker Spaniel is a medium-sized breed of dog that was originally bred in England for flushing and retrieving game. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.","{'max': 15, 'min': 12}","{'max': 15, 'min': 11}","{'max': 12, 'min': 9}",False
84,Collie,"The Collie is a medium-sized herding breed that originated in Scotland. It is an active and intelligent breed that is loyal and devoted to its family. The Collie stands between 22-26 inches at the shoulder and has a long, dense coat that can come in various colors and patterns.","{'max': 14, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
85,Coton de Tulear,"The Coton de Tulear is a small, fluffy breed with a cotton-like coat that is soft and hypoallergenic. It is known for its friendly and playful personality.","{'max': 15, 'min': 12}","{'max': 6, 'min': 4}","{'max': 6, 'min': 4}",False
86,Croatian Sheepdog,"The Croatian Sheepdog is a medium-sized breed of dog that was originally bred in Croatia for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.","{'max': 15, 'min': 12}","{'max': 22, 'min': 18}","{'max': 22, 'min': 18}",False
87,Curly-Coated Retriever,"The Curly-Coated Retriever is a large breed of retrieving dog from England. These dogs are large in size, with a curly coat of fur. They have a dignified and energetic demeanor, making them excellent working dogs. They are highly intelligent and trainable, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.","{'max': 14, 'min': 12}","{'max': 34, 'min': 27}","{'max': 32, 'min': 25}",False
88,Czechoslovakian Vlcak,"The Czechoslovakian Vlcak is an intelligent and alert breed with an athletic build and a thick, coarse coat. They are an intelligent and highly trainable working dog that is used in many different roles, including as a guard dog, search and rescue, and police dog. The Czech Vlcak is also known for its outstanding loyalty and devotion to its owners.","{'max': 14, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
89,Dachshund,"The Dachshund is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, independent, and affectionate, and make excellent companion dogs.","{'max': 15, 'min': 12}","{'max': 9, 'min': 5}","{'max': 9, 'min': 5}",False
90,Dalmatian,"The Dalmatian is a medium-sized breed that originated in Croatia. They have a short, dense coat, and come in a variety of colors. They are an active and energetic breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.","{'max': 13, 'min': 11}","{'max': 32, 'min': 25}","{'max': 32, 'min': 25}",False
91,Dandie Dinmont Terrier,"The Dandie Dinmont Terrier is a small and playful breed of dog that was originally bred in Scotland for hunting small game. They are intelligent, independent, and affectionate, and make excellent companion dogs.","{'max': 14, 'min': 12}","{'max': 11, 'min': 8}","{'max': 11, 'min': 8}",False
92,Danish-Swedish Farmdog,"The Danish-Swedish Farmdog is a small, energetic herding breed with a short, smooth coat and a keen intelligence.","{'max': 14, 'min': 12}","{'max': 15, 'min': 10}","{'max': 15, 'min': 10}",False
93,Deutscher Wachtelhund,"The Deutscher Wachtelhund is a versatile gundog from Germany. They are strong, lively, and intelligent, and make excellent hunting and family companions. Deutscher Wachtelhunds have a short, dense coat that is usually black and white in color. They are active and require plenty of exercise and mental stimulation to remain healthy and happy.","{'max': 14, 'min': 12}","{'max': 20, 'min': 15}","{'max': 20, 'min': 15}",False
